date,open,close,high,low,volume,code
2013-12-20,7.639,7.274,7.775,7.169,107193.0,002482
2013-12-27,7.278,7.422,7.484,7.188,76903.0,002482
2014-01-03,7.488,7.464,7.694,7.422,73233.0,002482
2014-01-10,7.464,6.531,7.464,6.353,216178.0,002482
2014-01-17,6.493,6.601,6.679,6.29,101740.0,002482
2014-01-24,6.551,7.262,7.328,6.454,186839.0,002482
2014-01-30,7.196,6.796,7.212,6.675,119064.0,002482
2014-02-07,6.726,6.699,6.726,6.617,41308.0,002482
2014-02-14,6.718,6.944,7.126,6.695,229584.0,002482
2014-02-21,6.947,6.99,7.379,6.897,230068.0,002482
2014-02-28,6.862,6.065,6.862,5.909,307031.0,002482
2014-03-07,6.065,5.909,6.065,5.746,256564.0,002482
2014-03-14,5.878,5.629,5.878,5.544,255741.0,002482
2014-03-21,5.657,5.882,5.917,5.536,219296.0,002482
2014-03-28,5.913,5.886,6.298,5.773,319007.0,002482
2014-04-04,5.894,6.22,6.329,5.836,266649.0,002482
2014-04-11,6.166,5.995,6.318,5.987,138006.0,002482
2014-04-18,5.987,5.843,6.03,5.75,146784.0,002482
2014-04-25,5.777,5.109,5.816,5.109,269147.0,002482
2014-04-30,4.996,4.852,4.996,4.716,220409.0,002482
2014-05-09,4.817,4.572,4.98,4.568,332315.0,002482
2014-05-16,4.603,4.836,4.871,4.572,300629.0,002482
2014-05-23,4.848,4.813,4.871,4.708,189094.0,002482
2014-05-30,4.817,4.755,4.961,4.728,228555.0,002482
2014-06-06,4.751,4.685,4.786,4.599,168277.0,002482
2014-06-13,4.669,4.817,4.836,4.634,198838.0,002482
2014-06-20,4.805,4.646,4.852,4.58,173414.0,002482
2014-06-27,4.654,4.674,4.702,4.568,241986.0,002482
2014-07-04,4.698,5.103,5.312,4.686,609146.0,002482
2014-07-11,5.099,5.214,5.277,5.009,376815.0,002482
2014-07-18,5.233,4.867,5.269,4.769,399593.0,002482
2014-07-25,4.895,5.064,5.143,4.812,297349.0,002482
2014-08-01,5.076,5.099,5.296,5.04,373447.0,002482
2014-08-08,5.064,5.351,5.572,5.064,504802.0,002482
2014-08-15,5.367,5.489,5.564,5.355,269134.0,002482
2014-08-22,5.556,5.863,5.974,5.556,469771.0,002482
2014-08-29,5.863,5.505,5.907,5.403,228961.0,002482
2014-09-05,5.505,5.785,5.816,5.466,336347.0,002482
2014-09-12,5.769,5.978,6.041,5.666,338421.0,002482
2014-09-19,5.993,5.903,6.037,5.552,460836.0,002482
2014-09-25,5.903,6.545,6.647,5.82,662764.0,002482
2014-10-10,6.497,6.34,6.592,6.233,371187.0,002482
2014-10-17,6.328,6.021,6.332,5.816,418119.0,002482
2014-10-24,6.025,5.974,6.419,5.867,472126.0,002482
2014-10-31,5.966,6.249,6.363,5.899,323790.0,002482
2014-11-07,6.261,6.163,6.363,6.147,334224.0,002482
2014-11-14,6.182,5.674,6.316,5.662,349594.0,002482
2014-11-21,5.69,5.816,5.824,5.662,240575.0,002482
2014-11-28,5.989,6.328,6.592,5.907,764403.0,002482
2014-12-05,6.34,6.143,6.572,6.08,631999.0,002482
2014-12-09,6.064,5.958,6.253,5.938,357478.0,002482
2015-01-09,6.552,6.596,7.001,6.253,782333.0,002482
2015-01-16,6.572,7.1,7.163,6.541,703926.0,002482
2015-01-23,6.891,7.505,7.875,6.753,880889.0,002482
2015-01-30,7.505,7.127,7.667,7.08,355278.0,002482
2015-02-06,7.096,7.068,7.419,6.997,316083.0,002482
2015-02-13,7.049,7.631,7.749,6.978,390631.0,002482
2015-02-17,7.635,7.718,7.844,7.513,114566.0,002482
2015-02-27,7.761,7.86,8.305,7.718,247024.0,002482
2015-03-06,7.923,7.742,8.061,7.56,332841.0,002482
2015-03-13,7.785,7.69,8.065,7.576,286347.0,002482
2015-03-20,7.714,8.549,8.6,7.643,620003.0,002482
2015-03-27,8.596,9.234,9.313,8.269,544533.32,002482
2015-04-03,9.159,9.368,9.683,9.057,445800.0,002482
2015-04-10,9.368,10.203,10.203,9.065,413639.0,002482
2015-04-17,10.478,10.533,11.223,9.655,547540.0,002482
2015-04-24,10.514,9.974,10.628,9.915,500421.0,002482
2015-04-30,10.081,10.01,10.364,9.6,322510.0,002482
2015-05-08,10.01,9.214,10.191,8.616,408635.0,002482
2015-05-15,9.415,10.431,11.266,9.415,567639.0,002482
2015-05-22,10.4,12.089,12.451,10.124,658050.0,002482
2015-05-29,12.01,12.01,13.778,11.183,698380.0,002482
2015-06-05,12.286,16.33,16.976,12.207,857989.0,002482
2015-06-12,16.101,16.117,16.617,14.885,577376.0,002482
2015-06-19,15.869,13.778,16.027,13.585,415698.0,002482
2015-06-26,13.94,11.591,14.129,11.591,331451.0,002482
2015-07-03,11.868,8.031,11.868,7.876,695710.0,002482
2015-07-10,8.834,9.316,9.316,6.757,1074756.0,002482
2015-07-17,10.214,10.986,11.274,8.992,594775.0,002482
2015-07-24,10.986,10.705,11.512,10.357,507921.0,002482
2015-07-31,10.285,9.649,10.661,8.707,366368.0,002482
2015-08-07,9.435,10.281,10.8,9.103,285113.0,002482
2015-08-14,10.483,11.061,11.967,10.25,411449.0,002482
2015-08-21,11.1,9.047,12.857,8.96,549261.0,002482
2015-08-28,8.145,7.781,8.588,6.686,448838.0,002482
2015-09-02,7.702,6.626,7.75,5.954,171179.0,002482
2015-09-11,6.769,7.073,7.437,6.29,228416.0,002482
2015-09-18,7.097,6.361,7.22,5.847,259955.0,002482
2015-09-25,6.326,6.29,6.879,6.231,174366.0,002482
2015-09-30,6.29,6.875,6.923,6.171,97033.0,002482
2015-10-09,7.069,7.192,7.315,6.947,110306.0,002482
2015-10-16,7.196,8.035,8.173,7.192,289536.0,002482
2015-10-23,8.054,7.936,8.355,7.299,327767.0,002482
2015-10-30,7.963,7.627,8.296,7.429,395813.0,002482
2015-11-06,7.402,8.288,8.3,7.113,468072.0,002482
2015-11-13,8.248,9.083,9.277,8.169,400313.0,002482
2015-11-20,8.806,10.179,10.396,8.806,481633.0,002482
2015-11-27,10.151,10.08,10.875,9.376,384458.0,002482
2015-12-04,9.732,11.381,11.437,9.7,339490.0,002482
2015-12-11,11.124,11.591,12.066,10.879,339161.0,002482
2015-12-18,11.551,10.879,11.907,10.764,400494.0,002482
2015-12-25,10.95,11.365,12.592,10.594,1046075.0,002482
2015-12-31,11.437,11.571,11.63,11.069,360621.0,002482
2016-01-08,11.627,9.494,11.662,8.505,377545.0,002482
2016-01-15,9.213,9.024,9.645,8.339,372698.0,002482
2016-01-22,8.766,9.083,9.728,8.565,304447.0,002482
2016-01-29,9.174,7.394,9.344,6.982,236512.0,002482
2016-02-05,7.398,7.912,7.991,6.943,195243.0,002482
2016-02-19,7.5,8.122,8.41,7.441,229189.0,002482
2016-02-26,8.209,7.409,8.371,7.164,237868.0,002482
2016-03-04,7.382,7.556,8.264,6.452,344935.0,002482
2016-03-11,7.595,7.14,7.833,6.947,190388.0,002482
2016-03-18,7.2,8.106,8.11,7.2,298796.0,002482
2016-03-25,8.11,8.529,8.94,8.05,388250.0,002482
2016-04-01,8.664,8.751,9.091,8.054,370807.0,002482
2016-04-08,8.755,8.667,9.281,8.576,268388.0,002482
2016-04-15,8.849,8.667,8.964,8.482,312312.0,002482
2016-04-22,8.66,7.936,8.66,7.615,254422.0,002482
2016-04-29,7.884,7.635,7.884,7.497,186392.0,002482
2016-05-06,7.599,8.078,8.315,7.552,254909.0,002482
2016-05-11,8.031,7.833,8.031,7.516,142632.0,002482
2016-05-20,7.833,7.311,7.951,7.208,185118.0,002482
2016-05-27,7.386,7.35,7.445,7.105,108327.0,002482
2016-06-03,7.267,7.884,7.987,7.235,181648.0,002482
2016-06-08,7.884,7.975,8.129,7.821,109304.0,002482
2016-06-17,7.813,7.821,7.947,7.247,151784.0,002482
2016-06-24,7.758,7.52,8.126,7.326,247925.0,002482
2016-07-01,7.44,7.59,7.689,7.361,455793.0,002482
2016-07-08,7.57,7.679,7.828,7.56,507835.0,002482
2016-07-15,7.689,7.997,8.306,7.649,573539.0,002482
2016-07-22,7.997,7.818,8.057,7.759,368018.0,002482
2016-07-29,7.789,7.421,7.898,7.301,293677.0,002482
2016-08-05,7.361,7.351,7.45,7.172,199918.0,002482
2016-08-12,7.341,7.49,7.53,7.281,206585.0,002482
2016-08-19,7.51,8.385,8.535,7.51,867426.0,002482
