date,open,close,high,low,volume,code
2013-12-20,3.072,2.889,3.083,2.875,415698.0,002340
2013-12-27,2.881,3.007,3.033,2.831,428242.0,002340
2014-01-03,3.045,3.025,3.048,2.942,301240.0,002340
2014-01-10,3.016,2.778,3.016,2.778,419708.0,002340
2014-01-17,2.816,2.91,2.936,2.766,351189.0,002340
2014-01-24,2.913,2.989,3.027,2.819,407747.0,002340
2014-01-30,2.975,2.954,3.063,2.936,371813.0,002340
2014-02-07,2.951,3.066,3.069,2.939,116829.0,002340
2014-02-14,3.075,3.263,3.374,3.063,1180229.0,002340
2014-02-21,3.295,3.342,3.565,3.257,1235739.0,002340
2014-02-28,3.333,3.318,3.451,3.151,859391.0,002340
2014-03-07,3.321,3.271,3.507,3.263,878163.0,002340
2014-03-14,3.239,3.101,3.263,3.057,520258.0,002340
2014-03-21,3.116,3.122,3.245,2.998,512241.0,002340
2014-03-28,3.148,2.925,3.18,2.925,488186.0,002340
2014-04-04,2.928,3.042,3.063,2.928,285312.0,002340
2014-04-11,3.013,3.26,3.41,3.004,732369.0,002340
2014-04-18,3.233,3.304,3.342,3.169,793387.0,002340
2014-04-25,3.286,3.13,3.38,3.13,923917.0,002340
2014-04-30,3.145,3.119,3.16,3.045,265530.0,002340
2014-05-09,3.11,3.354,3.515,3.095,1262840.0,002340
2014-05-16,3.38,3.295,3.721,3.242,2764274.0,002340
2014-05-23,3.304,3.254,3.327,3.157,790842.0,002340
2014-05-30,3.277,3.371,3.404,3.242,856893.0,002340
2014-06-06,3.351,3.418,3.471,3.213,1022084.0,002340
2014-06-13,3.395,3.439,3.521,3.366,1006647.0,002340
2014-06-20,3.439,3.321,3.501,3.263,948795.0,002340
2014-06-25,3.327,3.289,3.38,3.274,324260.0,002340
2014-07-25,3.46,3.539,3.645,3.398,880031.0,002340
2014-08-01,3.512,3.507,3.683,3.468,1655601.0,002340
2014-08-08,3.51,3.759,3.874,3.51,1601720.0,002340
2014-08-15,3.786,3.674,3.924,3.648,1847741.0,002340
2014-08-22,3.686,3.718,3.812,3.686,1094340.0,002340
2014-08-29,3.724,3.621,3.798,3.56,944411.0,002340
2014-09-05,3.621,3.798,3.833,3.609,1048078.0,002340
2014-09-12,3.801,3.945,3.997,3.742,1269885.0,002340
2014-09-19,3.986,4.092,4.238,3.859,1908633.0,002340
2014-09-26,4.089,4.08,4.212,3.971,1185923.0,002340
2014-09-30,4.083,4.165,4.221,4.083,405751.0,002340
2014-10-10,4.168,4.094,4.312,4.08,799265.0,002340
