date,open,close,high,low,volume,code
2015-12-11,5.736,5.582,5.881,5.229,551086.0,002613
2015-12-18,5.521,6.511,6.618,5.451,1296867.0,002613
2015-12-25,6.45,6.181,6.549,5.989,1009309.0,002613
2015-12-31,6.219,6.012,6.273,5.812,458347.0,002613
2016-01-08,6.012,5.014,6.012,4.722,406226.0,002613
2016-01-15,4.952,4.407,4.952,4.269,352152.0,002613
2016-01-22,4.369,5.221,5.359,4.3,833624.0,002613
2016-01-29,5.244,5.851,5.851,4.484,1464131.0,002613
2016-02-05,5.912,5.298,6.035,5.298,1793219.0,002613
2016-02-19,5.029,5.782,5.943,4.83,1189927.0,002613
2016-02-26,5.858,4.998,6.066,4.799,1228313.0,002613
2016-03-04,4.998,4.737,5.183,4.538,627898.0,002613
2016-03-11,4.76,4.707,5.144,4.63,429730.0,002613
2016-03-18,4.745,5.068,5.106,4.73,444662.0,002613
2016-03-25,5.152,5.229,5.428,5.06,640821.0,002613
2016-04-01,5.306,5.114,5.359,4.975,481958.0,002613
2016-04-08,5.083,5.329,5.582,5.06,553927.0,002613
2016-04-15,5.398,5.49,5.59,5.221,613610.0,002613
2016-04-22,5.467,5.129,5.467,4.968,398721.0,002613
2016-04-29,5.091,5.267,5.359,4.983,289496.0,002613
2016-05-06,5.221,5.628,6.181,5.206,1069389.0,002613
2016-05-13,5.605,5.851,6.073,5.229,777569.0,002613
2016-05-20,5.828,5.443,6.534,5.304,1511608.0,002613
2016-05-27,5.435,5.312,5.535,5.004,661198.0,002613
2016-06-03,5.289,5.658,5.881,5.196,746265.0,002613
2016-06-08,5.635,5.589,5.774,5.45,354296.0,002613
2016-06-17,5.535,5.812,6.081,5.381,838916.0,002613
2016-06-24,5.812,6.081,6.228,5.75,769443.0,002613
2016-07-01,6.012,6.197,6.312,5.974,639028.0,002613
2016-07-08,6.143,6.212,6.428,5.997,670594.0,002613
2016-07-15,6.22,5.889,6.274,5.766,613052.0,002613
2016-07-22,5.889,5.82,6.12,5.804,454474.0,002613
2016-07-29,5.82,5.512,5.974,5.466,356054.0,002613
2016-08-05,5.489,5.481,5.635,5.358,207106.0,002613
2016-08-12,5.481,5.627,5.774,5.45,243476.0,002613
2016-08-19,5.627,5.82,5.974,5.596,382335.0,002613
2016-08-26,5.889,5.866,5.889,5.681,283991.0,002613
2016-09-02,5.827,5.635,5.858,5.55,287807.0,002613
2016-09-09,5.666,5.897,6.035,5.62,436384.0,002613
2016-09-14,5.82,5.92,5.997,5.689,262473.0,002613
2016-09-23,5.897,6.004,6.089,5.851,516786.0,002613
2016-09-30,5.989,6.259,6.713,5.851,1970823.0,002613
2016-10-14,6.282,6.205,6.482,6.182,1117461.0,002613
2016-10-21,6.205,6.02,6.282,5.989,563191.0,002613
