date,open,close,high,low,volume,code
2013-12-20,5.574,5.356,5.656,5.273,204280.0,603128
2013-12-27,5.336,5.273,5.724,4.997,426860.0,603128
2014-01-03,5.317,5.099,5.525,5.084,286880.0,603128
2014-01-10,5.069,5.186,5.317,4.851,341282.0,603128
2014-01-17,5.186,5.113,5.618,5.069,466202.0,603128
2014-01-24,5.079,5.681,5.918,5.05,543287.0,603128
2014-01-30,5.584,6.394,6.753,5.584,922970.0,603128
2014-02-07,6.345,6.311,6.345,6.025,140068.0,603128
2014-02-14,6.273,6.311,6.845,6.146,831506.0,603128
2014-02-21,6.36,6.176,6.753,6.137,640389.0,603128
2014-02-28,6.074,5.317,6.161,5.103,383263.0,603128
2014-03-07,5.288,5.341,5.676,5.239,288683.0,603128
2014-03-14,5.278,4.909,5.278,4.841,201463.0,603128
2014-03-21,4.905,4.987,5.142,4.749,213244.0,603128
2014-03-28,4.943,5.176,5.516,4.938,396953.0,603128
2014-04-04,5.133,4.977,5.215,4.88,156331.0,603128
2014-04-11,4.948,5.176,5.414,4.909,235773.0,603128
2014-04-18,5.152,5.196,5.307,5.099,157541.0,603128
2014-04-25,5.108,4.793,5.365,4.793,291312.0,603128
2014-04-30,4.778,4.575,4.827,4.366,95227.0,603128
2014-05-09,4.584,4.366,4.623,4.361,115219.0,603128
2014-05-16,4.449,4.764,4.841,4.395,274087.0,603128
2014-05-23,4.749,4.764,4.774,4.526,164479.0,603128
2014-05-30,4.754,4.652,4.885,4.609,281129.0,603128
2014-06-06,4.643,4.827,4.866,4.575,169913.0,603128
2014-06-13,4.754,4.783,5.036,4.71,384905.0,603128
2014-06-20,4.774,4.541,5.036,4.415,310550.0,603128
2014-06-27,4.536,4.628,4.657,4.473,151713.0,603128
2014-07-04,4.633,4.837,5.23,4.613,439454.0,603128
2014-07-11,4.822,4.715,4.919,4.657,176931.0,603128
2014-07-18,4.73,4.851,5.065,4.72,224007.0,603128
2014-07-25,4.851,4.938,5.065,4.759,255315.0,603128
2014-08-01,4.997,5.031,5.433,4.938,547725.0,603128
2014-08-08,5.065,5.284,5.313,5.04,307578.0,603128
2014-08-15,5.284,5.504,5.636,5.264,576691.0,603128
2014-08-22,5.518,5.513,5.601,5.342,377800.0,603128
2014-08-29,5.518,5.484,5.787,5.162,543529.0,603128
2014-09-05,5.494,5.797,6.022,5.406,547726.0,603128
2014-09-12,5.787,6.056,6.369,5.768,592064.0,603128
2014-09-19,6.11,6.242,6.467,5.773,727407.0,603128
2014-09-26,6.247,6.159,6.413,5.914,576973.0,603128
2014-09-30,6.315,6.247,6.403,6.188,174009.0,603128
