date,open,close,high,low,volume,code
2013-12-20,4.106,3.937,4.106,3.929,124727.0,000488
2013-12-27,3.937,3.971,3.988,3.836,107187.0,000488
2014-01-03,3.971,3.853,3.996,3.836,112021.0,000488
2014-01-10,3.853,3.559,3.862,3.55,164609.0,000488
2014-01-17,3.601,3.534,3.609,3.475,192398.0,000488
2014-01-24,3.534,3.769,3.946,3.517,432880.0,000488
2014-01-30,3.744,3.82,3.836,3.719,146782.0,000488
2014-02-07,3.794,3.921,3.929,3.769,65134.0,000488
2014-02-14,3.912,3.862,3.996,3.794,323923.0,000488
2014-02-21,3.853,3.794,3.921,3.778,238849.0,000488
2014-02-28,3.786,3.66,3.794,3.576,194543.0,000488
2014-03-07,3.651,3.719,3.794,3.609,204596.0,000488
2014-03-14,3.71,3.618,3.71,3.55,155959.0,000488
2014-03-21,3.618,3.786,3.853,3.593,409396.0,000488
2014-03-28,3.761,3.803,3.895,3.752,779385.0,000488
2014-04-04,3.803,3.811,3.836,3.761,400306.0,000488
2014-04-11,3.794,3.82,3.895,3.778,388045.0,000488
2014-04-18,3.82,3.786,3.828,3.744,258151.0,000488
2014-04-25,3.769,3.677,3.778,3.677,215284.0,000488
2014-04-30,3.668,3.626,3.668,3.593,106073.0,000488
2014-05-09,3.626,3.559,3.643,3.542,186395.0,000488
2014-05-16,3.576,3.584,3.66,3.559,195740.0,000488
2014-05-23,3.584,3.601,3.618,3.55,104424.0,000488
2014-05-30,3.601,3.593,3.635,3.576,109115.0,000488
2014-06-06,3.601,3.567,3.609,3.55,73281.0,000488
2014-06-13,3.567,3.576,3.593,3.534,136576.0,000488
2014-06-20,3.567,3.508,3.593,3.475,132868.0,000488
2014-06-27,3.508,3.626,3.66,3.5,189866.0,000488
2014-07-04,3.635,3.667,3.702,3.635,367190.0,000488
2014-07-11,3.667,3.649,3.676,3.604,184494.0,000488
2014-07-18,3.667,3.749,3.83,3.649,715885.0,000488
2014-07-25,3.758,3.74,3.758,3.658,269687.0,000488
2014-08-01,3.74,3.929,3.975,3.74,685188.0,000488
2014-08-08,3.92,3.975,4.047,3.893,522413.0,000488
2014-08-15,3.975,3.947,4.029,3.92,301464.0,000488
2014-08-22,3.947,4.011,4.011,3.911,451512.0,000488
2014-08-29,4.02,4.083,4.146,3.966,742894.0,000488
2014-09-05,4.083,4.182,4.218,4.083,528678.0,000488
2014-09-12,4.182,4.209,4.264,4.146,405723.0,000488
2014-09-19,4.209,4.345,4.507,4.2,1008819.0,000488
2014-09-26,4.345,4.453,4.471,4.255,597890.0,000488
2014-09-30,4.48,4.571,4.625,4.453,329889.0,000488
2014-10-10,4.544,4.535,4.634,4.498,338748.0,000488
2014-10-17,4.517,4.354,4.535,4.3,555230.0,000488
2014-10-24,4.345,4.146,4.372,4.128,649088.0,000488
2014-10-31,4.155,4.435,4.444,4.056,1649602.0,000488
2014-11-07,4.426,4.507,4.571,4.417,930834.0,000488
2014-11-14,4.489,4.535,4.652,4.435,915009.0,000488
2014-11-21,4.535,4.706,4.724,4.535,738009.0,000488
2014-11-28,4.715,4.76,4.86,4.679,759810.0,000488
2014-12-05,4.742,4.842,5.068,4.706,2345401.0,000488
2014-12-12,4.797,5.483,5.754,4.733,3500156.0,000488
2014-12-19,5.492,5.619,5.619,5.339,1799125.0,000488
2014-12-24,5.6,5.555,6.133,5.42,1289412.0,000488
2014-12-31,6.034,5.573,6.034,5.393,956302.0,000488
2015-01-09,5.591,5.79,6.314,5.42,2280492.0,000488
2015-01-16,5.772,5.862,5.871,5.429,949342.0,000488
2015-01-23,5.682,5.998,6.269,5.275,2211763.0,000488
2015-01-30,6.079,6.016,6.45,6.007,1445286.0,000488
2015-02-06,5.908,5.528,6.016,5.474,999943.0,000488
2015-02-13,5.537,5.862,5.989,5.456,561151.0,000488
2015-02-17,5.862,5.98,5.98,5.826,260208.0,000488
2015-02-27,6.007,6.061,6.142,5.799,466337.0,000488
2015-03-06,6.07,5.853,6.151,5.736,1102497.0,000488
2015-03-13,5.826,5.989,5.998,5.745,760691.0,000488
2015-03-20,6.016,6.413,6.468,6.007,1939185.0,000488
2015-03-27,6.459,6.522,6.621,6.224,2174807.28,000488
2015-04-03,6.576,6.883,7.037,6.441,2509739.0,000488
2015-04-10,6.992,7.57,7.759,6.992,2685133.0,000488
2015-04-17,7.588,8.039,8.509,7.552,2972016.0,000488
2015-04-24,7.922,7.949,8.374,7.416,2420155.0,000488
2015-04-30,7.949,8.283,8.527,7.768,1941346.0,000488
2015-05-08,8.401,9.033,9.476,8.401,3025772.0,000488
2015-05-15,9.168,9.087,9.927,8.897,2383439.0,000488
2015-05-22,8.952,9.53,9.846,8.852,2071061.0,000488
2015-05-29,9.539,9.738,11.092,9.223,2959449.0,000488
2015-06-05,9.738,10.009,10.415,9.304,2314003.0,000488
2015-06-12,10.009,11.969,12.176,9.945,3082770.0,000488
2015-06-19,11.878,9.729,12.637,9.729,2585531.0,000488
2015-06-26,9.729,8.527,10.28,8.527,1387010.0,000488
2015-07-03,8.753,6.206,8.762,6.142,2633996.0,000488
2015-07-10,6.82,7.383,7.383,5.194,4006857.0,000488
2015-07-17,7.963,7.88,8.764,6.647,2716468.0,000488
2015-07-24,7.991,8.221,8.709,7.503,2140129.0,000488
2015-07-31,8.083,7.475,8.285,6.674,1509343.0,000488
2015-08-07,7.466,8.221,8.46,7.181,1398214.0,000488
2015-08-14,8.304,8.12,8.737,7.466,2305118.0,000488
2015-08-21,8.147,7.107,8.635,7.089,1846417.0,000488
2015-08-28,6.766,6.859,6.923,5.625,1812402.0,000488
2015-09-02,6.831,6.306,6.859,5.634,1246135.0,000488
2015-09-11,6.288,6.453,6.812,6.085,2290599.0,000488
2015-09-18,6.509,5.846,6.527,5.662,1545673.0,000488
2015-09-25,5.827,5.92,6.38,5.763,1182161.0,000488
