date,open,close,high,low,volume,code
2015-12-11,8.107,7.498,8.377,7.398,1498287.0,000422
2015-12-18,7.388,7.618,7.738,7.348,1081412.0,000422
2015-12-25,7.578,8.017,8.147,7.548,1326015.0,000422
2015-12-31,8.017,7.758,8.067,7.678,726075.0,000422
2016-01-08,7.758,6.939,7.798,6.57,826568.0,000422
2016-01-15,6.869,6.589,6.979,6.39,741419.0,000422
2016-01-22,6.52,6.41,6.739,6.3,619551.0,000422
2016-01-29,6.47,5.821,6.54,5.541,679657.0,000422
2016-02-05,5.811,5.901,6.01,5.641,458188.0,000422
2016-02-19,5.651,6.07,6.19,5.651,468036.0,000422
2016-02-26,6.13,5.921,6.39,5.751,665056.0,000422
2016-03-04,5.901,6.12,6.33,5.541,709332.0,000422
2016-03-11,6.19,5.99,6.32,5.901,501002.0,000422
2016-03-18,6.05,6.3,6.34,5.99,581933.0,000422
2016-03-25,6.34,6.29,6.44,6.23,657698.0,000422
2016-04-01,6.3,6.33,6.39,6.17,577572.0,000422
2016-04-08,6.33,6.38,6.51,6.32,534779.0,000422
2016-04-15,6.43,6.609,6.689,6.4,700382.0,000422
2016-04-22,6.58,6.28,6.58,6.09,566931.0,000422
2016-04-29,6.24,6.26,6.43,6.17,445606.0,000422
2016-05-06,6.28,6.21,6.49,6.2,408456.0,000422
2016-05-13,6.15,5.96,6.2,5.821,368911.0,000422
2016-05-20,5.96,5.891,6.05,5.781,290778.0,000422
2016-05-27,5.891,5.911,5.99,5.791,236226.0,000422
2016-06-03,5.921,6.1,6.11,5.861,387032.0,000422
2016-06-08,6.11,6.06,6.11,6.02,172992.0,000422
2016-06-17,6.02,6.01,6.07,5.791,317081.0,000422
2016-06-24,6.01,5.951,6.12,5.851,419678.0,000422
2016-07-01,5.941,6.11,6.17,5.921,454253.0,000422
2016-07-08,6.09,6.32,6.619,6.07,865450.0,000422
2016-07-15,6.34,6.45,6.5,6.31,615929.0,000422
2016-07-22,6.47,6.37,6.48,6.31,377563.0,000422
2016-07-29,6.36,6.19,6.49,6.15,466335.0,000422
2016-08-05,6.19,6.28,6.3,6.1,332740.0,000422
2016-08-12,6.28,6.37,6.4,6.25,364648.0,000422
2016-08-19,6.36,6.53,6.59,6.36,614301.0,000422
2016-08-26,6.54,6.61,6.95,6.44,1733832.0,000422
2016-09-02,6.63,6.52,6.75,6.5,537400.0,000422
2016-09-09,6.54,6.61,6.88,6.52,882857.0,000422
2016-09-14,6.52,6.37,6.52,6.36,320293.0,000422
2016-09-23,6.37,6.48,6.51,6.36,361320.0,000422
2016-09-30,6.46,6.46,6.51,6.32,422824.0,000422
2016-10-14,6.49,6.62,6.69,6.48,544683.0,000422
2016-10-21,6.61,6.66,6.78,6.54,637436.0,000422
2016-10-28,6.66,6.94,7.24,6.65,1140033.0,000422
2016-11-04,7.02,7.3,7.5,6.97,1661213.0,000422
2016-11-11,7.43,8.06,8.25,7.29,2078458.0,000422
2016-12-02,8.35,7.4,8.46,7.4,3398764.0,000422
2016-12-09,7.13,8.05,8.08,7.11,1229305.0,000422
2016-12-16,8.0,7.94,8.38,7.62,1475373.0,000422
2016-12-23,7.7,8.03,8.28,7.48,1015232.0,000422
2016-12-30,8.08,7.95,8.28,7.81,637155.0,000422
2017-01-06,8.0,8.5,8.58,7.95,940048.0,000422
2017-01-13,8.45,7.7,8.69,7.55,951062.0,000422
2017-01-20,7.69,7.34,7.8,7.0,733570.0,000422
2017-01-26,7.35,7.41,7.66,7.05,690262.0,000422
2017-02-03,7.33,7.57,7.76,7.27,186415.0,000422
2017-02-10,7.53,7.54,7.76,7.45,947012.0,000422
2017-02-17,7.52,7.39,7.72,7.28,1098284.0,000422
2017-02-24,7.38,7.26,7.48,7.13,938415.0,000422
2017-03-03,7.29,7.18,7.44,7.15,935154.0,000422
2017-03-10,7.18,7.0,7.24,6.98,767547.0,000422
2017-03-17,7.0,7.22,7.46,6.98,1442472.0,000422
2017-03-24,7.23,6.89,7.32,6.81,1415078.0,000422
2017-03-31,6.9,6.72,6.93,6.64,758383.0,000422
2017-04-07,6.72,6.84,6.89,6.72,549583.0,000422
2017-04-14,6.83,6.74,6.94,6.73,779015.0,000422
2017-04-21,6.69,6.22,6.74,6.06,818498.0,000422
2017-04-28,6.22,6.21,6.26,5.97,536785.0,000422
2017-05-05,6.21,6.01,6.23,5.99,466076.0,000422
2017-05-12,6.01,5.84,6.05,5.76,518121.0,000422
2017-05-19,5.83,5.91,6.02,5.71,631748.0,000422
2017-05-26,5.91,5.65,5.92,5.51,755174.0,000422
2017-06-02,5.69,5.58,5.72,5.46,462232.0,000422
2017-06-09,5.57,5.75,5.82,5.56,661933.0,000422
2017-06-16,5.73,5.79,5.85,5.62,603393.0,000422
2017-06-23,5.78,5.72,5.85,5.63,711078.0,000422
2017-06-30,5.71,5.95,6.02,5.68,1096379.0,000422
2017-07-07,5.96,6.17,6.19,5.94,990745.0,000422
2017-07-14,6.16,6.3,6.34,6.04,1274124.0,000422
2017-07-21,6.2,6.73,6.84,5.97,1989226.0,000422
2017-07-28,6.7,6.92,7.21,6.6,3041046.0,000422
2017-08-03,6.91,6.98,7.24,6.77,2523318.0,000422
