date,open,close,high,low,volume,code
2013-12-20,2.904,2.787,2.934,2.757,303113.0,000949
2013-12-26,2.787,2.816,2.855,2.708,190407.0,000949
2014-01-03,2.816,2.806,2.865,2.777,197352.0,000949
2014-01-10,2.797,2.59,2.816,2.571,190725.0,000949
2014-01-17,2.581,2.6,2.64,2.551,126995.0,000949
2014-01-24,2.581,2.689,2.718,2.551,148070.0,000949
2014-01-30,2.689,2.64,2.689,2.61,107437.0,000949
2014-02-07,2.63,2.679,2.679,2.62,32547.0,000949
2014-02-14,2.679,2.846,2.875,2.669,417783.0,000949
2014-02-21,2.855,2.767,2.924,2.738,420548.0,000949
2014-02-28,2.757,2.698,2.787,2.64,269598.0,000949
2014-03-07,2.689,2.679,2.738,2.649,209553.0,000949
2014-03-14,2.669,2.718,2.787,2.581,324443.0,000949
2014-03-21,2.728,2.836,3.003,2.698,692096.0,000949
2014-03-28,2.826,2.767,2.914,2.757,400471.0,000949
2014-04-04,2.757,2.846,2.846,2.757,209975.0,000949
2014-04-11,2.846,2.855,2.895,2.816,272175.0,000949
2014-04-18,2.865,2.826,2.914,2.806,302199.0,000949
2014-04-25,2.806,2.914,2.983,2.728,638995.0,000949
2014-04-30,2.895,3.022,3.101,2.757,566351.0,000949
2014-05-09,3.003,3.091,3.268,2.944,1504507.0,000949
2014-05-16,3.111,2.993,3.238,2.944,1044610.0,000949
2014-05-23,2.973,2.924,3.032,2.895,527214.0,000949
2014-05-30,2.944,2.963,3.061,2.895,532550.0,000949
2014-06-06,2.954,2.885,2.963,2.855,244776.0,000949
2014-06-13,2.875,2.895,2.944,2.836,335113.0,000949
2014-06-20,2.895,2.787,2.914,2.757,310776.0,000949
2014-06-27,2.787,2.885,2.895,2.777,254699.0,000949
2014-07-04,2.895,2.954,2.983,2.855,396686.0,000949
2014-07-11,2.954,3.16,3.218,2.944,1258766.0,000949
2014-07-18,3.16,3.091,3.258,3.052,894947.0,000949
2014-07-25,3.081,3.474,3.523,3.061,1490085.0,000949
2014-08-01,3.503,3.366,3.581,3.346,1027295.0,000949
2014-08-08,3.375,3.483,3.503,3.356,786744.0,000949
2014-08-15,3.581,3.444,3.65,3.385,1248199.0,000949
2014-08-22,3.483,3.503,3.581,3.434,665376.0,000949
2014-08-29,3.503,3.336,3.503,3.258,456054.0,000949
2014-09-05,3.356,3.513,3.523,3.346,634539.0,000949
2014-09-12,3.513,3.591,3.64,3.474,669511.0,000949
2014-09-19,3.601,3.837,4.072,3.591,1605199.0,000949
2014-09-26,3.807,3.837,3.974,3.709,852573.0,000949
2014-09-30,3.837,3.886,3.895,3.837,259497.0,000949
2014-10-10,3.905,4.111,4.2,3.866,641017.0,000949
2014-10-17,4.111,4.416,4.788,4.013,1900975.0,000949
2014-10-24,4.396,4.308,4.808,4.141,1355082.0,000949
2014-10-31,4.268,4.396,4.582,4.259,806994.0,000949
2014-11-07,4.376,4.337,4.592,4.317,695673.0,000949
2014-11-14,4.308,4.082,4.376,4.013,621314.0,000949
2014-11-21,4.111,4.317,4.386,4.062,435819.0,000949
2014-11-28,4.327,4.563,4.788,4.268,805631.0,000949
2014-12-05,4.671,4.288,4.73,4.19,1175870.0,000949
2014-12-12,4.278,4.465,4.465,4.131,808580.0,000949
2014-12-19,4.514,4.425,4.651,4.347,1109022.0,000949
2014-12-26,4.396,4.523,4.661,4.121,817198.0,000949
2014-12-31,4.504,4.347,4.612,4.229,641409.0,000949
2015-01-09,4.317,4.641,4.857,4.317,1595840.0,000949
2015-01-16,4.641,4.425,4.641,4.259,652303.0,000949
2015-01-23,4.209,4.366,4.455,3.984,617925.0,000949
2015-01-30,4.386,4.553,4.828,4.337,1478882.0,000949
2015-02-06,4.494,4.896,5.23,4.445,1950490.0,000949
2015-02-13,4.887,5.093,5.22,4.837,996604.0,000949
