date,open,close,high,low,volume,code
2013-12-20,4.33,4.152,4.35,4.058,76378.0,002204
2013-12-27,4.162,4.325,4.742,4.152,354261.0,002204
2014-01-03,4.365,4.405,4.504,4.177,142428.0,002204
2014-01-10,4.4,4.083,4.479,4.063,149375.0,002204
2014-01-17,4.098,4.078,4.192,4.028,75642.0,002204
2014-01-24,4.098,4.335,4.459,4.088,110163.0,002204
2014-01-30,4.375,4.429,4.449,4.301,62159.0,002204
2014-02-07,4.425,4.509,4.538,4.4,28791.0,002204
2014-02-14,4.499,5.277,5.331,4.479,300318.0,002204
2014-02-21,5.292,5.401,5.564,5.004,248155.0,002204
2014-02-28,5.401,5.698,5.881,5.084,312500.0,002204
2014-03-07,5.747,5.45,5.782,5.316,268391.0,002204
2014-03-14,5.435,5.807,5.861,5.257,230983.0,002204
2014-03-21,5.807,6.253,6.411,5.807,318279.0,002204
2014-03-28,6.263,6.57,6.763,6.05,268816.0,002204
2014-04-04,5.995,5.985,6.278,5.772,220469.0,002204
2014-04-11,5.951,6.089,6.273,5.931,181994.0,002204
2014-04-18,6.109,6.045,6.109,5.505,285468.0,002204
2014-04-25,6.04,6.119,6.535,5.975,269676.0,002204
2014-04-30,6.134,4.989,6.188,4.96,193832.0,002204
2014-05-09,4.975,4.474,5.128,4.35,243076.0,002204
2014-05-16,4.474,4.955,5.054,4.459,230505.0,002204
2014-05-23,4.945,4.91,5.024,4.831,126036.0,002204
2014-05-30,4.91,5.401,5.43,4.875,213649.0,002204
2014-06-06,5.42,5.415,5.529,5.306,143767.0,002204
2014-06-13,5.425,5.936,5.966,5.391,187978.0,002204
2014-06-20,5.897,5.727,6.131,5.414,215940.0,002204
2014-06-27,5.732,5.772,6.22,5.429,300717.0,002204
2014-07-04,5.912,6.419,6.608,5.907,591448.0,002204
2014-07-11,6.514,7.375,8.161,6.474,772778.0,002204
2014-07-18,7.27,8.529,8.539,7.066,922410.0,002204
2014-07-25,8.439,9.405,9.544,8.186,1495884.0,002204
2014-08-01,8.464,5.966,8.464,5.553,2320348.0,002204
2014-08-08,5.648,5.747,5.951,5.598,2764560.0,002204
2014-08-15,5.737,5.683,5.867,5.603,1403796.0,002204
2014-08-22,5.678,5.757,5.867,5.668,1246139.0,002204
2014-08-29,5.757,5.404,5.802,5.329,858084.0,002204
2014-09-05,5.409,6.14,6.369,5.399,1885545.0,002204
2014-09-12,6.111,6.136,6.344,5.991,1614983.0,002204
2014-09-19,6.136,5.936,6.255,5.752,1253344.0,002204
2014-09-26,5.931,6.116,6.19,5.772,1157749.0,002204
2014-09-30,6.126,6.051,6.195,6.031,440042.0,002204
2014-10-10,6.051,5.971,6.145,5.936,625390.0,002204
2014-10-17,5.936,5.583,5.941,5.504,709904.0,002204
2014-10-24,5.613,5.563,5.797,5.518,528642.0,002204
2014-10-31,5.573,6.051,6.509,5.509,2181965.0,002204
2014-11-07,6.041,6.136,6.409,5.991,1493436.0,002204
2014-11-14,6.136,5.633,6.2,5.558,974487.0,002204
2014-11-21,5.643,5.822,5.862,5.608,554404.0,002204
2014-11-28,5.842,5.892,6.16,5.812,1178301.0,002204
2014-12-05,5.897,5.946,6.215,5.817,1449429.0,002204
2014-12-12,5.912,6.031,6.086,5.578,1056151.0,002204
2014-12-19,6.046,6.902,7.116,5.827,2208729.0,002204
2014-12-26,6.762,6.275,6.762,5.862,1903590.0,002204
2014-12-31,6.18,5.966,6.519,5.902,756065.0,002204
2015-01-09,5.966,6.489,6.817,5.882,1816041.0,002204
2015-01-16,6.568,6.479,6.698,6.315,1275648.0,002204
2015-01-23,6.285,6.19,6.384,5.872,1106834.0,002204
2015-01-30,6.205,6.165,6.409,6.145,805755.0,002204
2015-02-06,6.021,5.981,6.275,5.956,513293.0,002204
2015-02-13,5.941,6.031,6.096,5.852,420747.0,002204
2015-02-17,6.031,6.071,6.136,6.021,249745.0,002204
2015-02-27,6.081,6.24,6.28,6.046,447778.0,002204
2015-03-06,6.265,6.419,6.807,6.2,1174478.0,002204
2015-03-13,6.399,6.429,6.658,6.28,793817.0,002204
2015-03-20,6.454,7.23,7.643,6.424,2253438.0,002204
2015-03-27,7.21,7.414,7.837,7.026,1938599.11,002204
2015-04-03,7.489,7.733,7.837,7.365,1589411.0,002204
2015-04-10,7.733,7.409,8.051,6.971,1293417.0,002204
2015-04-17,7.509,8.29,8.609,7.394,2082270.0,002204
2015-04-24,8.061,8.514,9.36,8.006,2451530.0,002204
2015-04-30,8.609,8.42,8.783,8.026,920319.0,002204
2015-05-08,8.395,7.574,8.614,7.29,950630.0,002204
2015-05-15,7.633,7.867,7.907,7.529,1078394.0,002204
2015-05-22,7.847,8.41,8.544,7.743,1360012.0,002204
2015-05-29,8.405,8.031,9.479,7.753,2229825.0,002204
2015-06-05,8.036,9.764,9.849,8.036,1884666.0,002204
2015-06-12,9.764,9.759,10.157,9.116,1830780.0,002204
2015-06-19,9.769,7.921,9.834,7.921,1294174.0,002204
2015-06-26,7.921,6.944,8.294,6.944,915667.0,002204
2015-07-03,7.149,4.857,7.173,4.857,1264100.0,002204
2015-07-10,5.34,4.877,5.34,3.661,1731539.0,002204
2015-07-17,5.106,5.236,5.754,4.274,1488191.0,002204
2015-07-24,5.36,5.48,5.828,5.181,1362640.0,002204
2015-07-31,5.305,5.126,5.51,4.449,903800.0,002204
2015-08-07,5.081,5.604,5.724,4.942,806350.0,002204
2015-08-14,5.674,5.918,6.028,5.559,919915.0,002204
2015-08-21,5.908,4.718,6.202,4.718,876428.0,002204
2015-08-28,4.254,4.145,4.478,3.472,714635.0,002204
2015-09-02,4.13,3.711,4.135,3.487,436449.0,002204
2015-09-11,3.871,4.454,4.877,3.871,1346963.0,002204
2015-09-18,4.897,4.334,4.897,4.045,1795638.0,002204
2015-09-25,4.209,4.299,4.822,4.135,1213834.0,002204
2015-09-30,4.304,4.185,4.434,4.14,283185.0,002204
2015-10-09,4.354,4.409,4.468,4.274,257903.0,002204
2015-10-16,4.419,5.101,5.171,4.414,1217670.0,002204
2015-10-23,5.146,4.723,5.275,4.429,1143244.0,002204
2015-10-30,4.812,4.767,5.021,4.513,918204.0,002204
2015-11-06,4.658,4.952,5.001,4.533,832461.0,002204
2015-11-13,4.897,5.166,5.45,4.837,1289128.0,002204
2015-11-20,4.982,5.061,5.32,4.962,1015631.0,002204
2015-11-27,5.041,5.226,5.325,4.957,1197571.0,002204
2015-12-04,5.181,5.52,5.659,5.061,2090826.0,002204
2015-12-11,5.49,4.937,5.569,4.922,951781.0,002204
2015-12-18,4.887,5.026,5.166,4.857,622461.0,002204
2015-12-25,4.982,5.061,5.221,4.957,683056.0,002204
2015-12-31,5.051,4.982,5.201,4.862,481053.0,002204
2016-01-08,5.096,4.224,5.156,3.985,700898.0,002204
2016-01-15,4.135,3.527,4.214,3.497,668577.0,002204
2016-01-22,3.427,3.652,3.891,3.422,511685.0,002204
2016-01-29,3.701,3.343,3.741,3.128,449095.0,002204
2016-02-05,3.343,3.373,3.467,3.238,345893.0,002204
2016-02-19,3.238,3.537,3.592,3.168,450392.0,002204
2016-02-26,3.577,3.318,3.671,3.243,535591.0,002204
2016-03-04,3.323,3.382,3.462,3.059,494296.0,002204
2016-03-11,3.417,3.288,3.472,3.228,359653.0,002204
2016-03-18,3.308,3.522,3.557,3.308,456197.0,002204
2016-03-25,3.537,3.577,3.656,3.527,527783.0,002204
2016-04-01,3.582,3.656,3.816,3.487,556949.0,002204
2016-04-08,3.661,3.836,4.075,3.661,700581.0,002204
2016-04-15,3.841,3.846,4.035,3.816,669304.0,002204
2016-04-22,3.826,3.94,3.94,3.527,519309.0,002204
2016-04-29,4.135,3.881,4.135,3.806,1061563.0,002204
2016-05-06,3.891,3.851,4.08,3.851,573181.0,002204
2016-05-13,3.846,3.985,4.01,3.676,479877.0,002204
2016-05-20,3.94,3.811,4.025,3.711,441260.0,002204
2016-05-27,3.811,3.821,3.891,3.726,301462.0,002204
2016-06-03,3.806,4.085,4.125,3.771,725190.0,002204
2016-06-08,4.095,4.259,4.284,4.005,478159.0,002204
2016-06-17,4.199,4.155,4.309,3.896,682220.0,002204
2016-06-24,4.185,3.94,4.304,3.801,717468.0,002204
2016-07-01,3.85,4.01,4.08,3.85,696466.0,002204
2016-07-08,3.99,4.249,4.409,3.95,1326464.0,002204
2016-07-15,4.289,4.359,4.549,4.279,1473827.0,002204
2016-07-22,4.329,4.219,4.349,4.21,578744.0,002204
2016-07-29,4.21,4.229,4.339,4.05,965481.0,002204
2016-08-05,4.21,4.19,4.359,4.08,919915.0,002204
2016-08-12,4.2,4.17,4.249,4.09,503624.0,002204
2016-08-19,4.18,4.409,4.579,4.14,1313903.0,002204
2016-08-26,4.389,4.329,4.509,4.219,1063412.0,002204
2016-09-02,4.329,4.219,4.389,4.19,630442.0,002204
2016-09-09,4.219,4.299,4.359,4.2,596930.0,002204
2016-09-14,4.249,4.14,4.249,4.11,311247.0,002204
2016-09-23,4.15,4.249,4.419,4.15,547494.0,002204
2016-09-30,4.21,4.19,4.269,4.12,443448.0,002204
2016-10-14,4.21,4.289,4.369,4.19,805799.0,002204
